seed,citer_corpusid,arxiv_id,year,title,authors,label,notes
YOLO,278012917,,2025,Decision support for the identification of testate amoebae in microscopy images to detect peat presence in horticultural substrates,"Serge Zaugg, Camille Vögeli, Lena Märki, C. Duckert, Edward A. D. Mitchell",,
YOLO,282419912,,2025,Lightweight and Improved PCBA Welding Defect Detection Algorithm of YOLOv8n,"Zhen Xu, Qingfeng Ma",,
YOLO,251480548,,2022,FH-YOLOv4 with Constrained Aspect Ratio Loss for Video Face Detection and Public Safety,"Yue Wang, L. Hong, Dewen Gu, P. Fu",,
YOLO,266236087,,2023,Robotic Grasping Based on Deep Learning: A Survey,"M. Rashed, R. N. Farhan, Wesam M. Jasim",,
YOLO,278193103,,2025,"Advancements in maize leaf disease detection, segmentation and classification: A review","Suresh Timilsina, Sandhya Sharma, Satoshi Kondo",,
YOLO,254043744,2211.15444,2022,DAMO-YOLO : A Report on Real-Time Object Detection Design,"Xianzhe Xu, Yiqi Jiang, Weihua Chen, Yi-Li Huang, Yuan Zhang, Xiuyu Sun",,
YOLO,286134911,,2025,Research on Vehicle Appearance Defect Detection Based on Machine Vision,"Jiechu Han, Zhang Yu, Jialei Ma, Sheng Yiqi, Zhao Guoan",,
YOLO,277635500,,2024,Bandwidth Reduction and Object Detection Model in Close-circuit Camera Systems,"Pichet Chonpattanapaisan, Ratsameetip Wita",,
YOLO,207758436,,2019,Reading Digital Numbers of Water Meter with Deep Learning Based Object Detector,"S. Liao, Pan Zhou, Liang-Shen Wang, Songzhi Su",,
YOLO,271633260,,2024,Data tampering detection and recovery scheme based on multi-branch target extraction for internet of vehicles,"Mianjie Li, Qihan Pei, Chung Shan, Shen Su, Yuan Liu, Zhihong Tian",,
YOLO,273676632,,2024,Detection of pine wilt disease infected pine trees using YOLOv5 optimized by attention mechanisms and loss functions,"Xiaotong Dong, Li Zhang, Chang Xu, Qing Miao, Junsheng Yao, Fangchao Liu, Huiwen Liu, Ying-Bo Lu, Ran Kang, Bin Song",,
YOLO,274810162,,2024,Crack Detection on Road Surfaces Based on Improved YOLOv8,"Haiyang Wu, Lingyun Kong, Denghui Liu",,
YOLO,224909296,,2020,A Real-Time Safety Helmet Wearing Detection Approach Based on CSYOLOv3,"Haikuan Wang, Zhaoyan Hu, Yuanjun Guo, Zhile Yang, Feixiang Zhou, Peng-fei Xu",,
YOLO,279987044,,2025,Zero-Shot Recognition of Test Tube Types by Automatically Collecting and Labeling RGB Data,"Yu Tang, Weiwei Wan, Hao Chen, Masaki Matsushita, Jun Takahashi, Takeyuki Kotaka, Kensuke Harada",,
YOLO,3801228,,2017,Merging recovery feature network to faster RCNN for low-resolution images detection,"Ruyi Zhang, Yujiu Yang",,
ViT,250607566,2207.07284,2022,Parameterization of Cross-token Relations with Relative Positional Encoding for Vision MLP,"Zhicai Wang, Y. Hao, Xingyu Gao, Hao Zhang, Shuo Wang, Tingting Mu, Xiangnan He",,
ViT,272764497,,2024,Online Multi-camera People Tracking with Spatial-temporal Mechanism and Anchor-feature Hierarchical Clustering,"Riu Cherdchusakulchai, Sasin Phimsiri, Visarut Trairattanapa, Suchat Tungjitnob, Wasu Kudisthalert, Pornprom Kiawjak, Ek Thamwiwatthana, Phawat Borisuitsawat, Teepakorn Tosawadi, Pakcheera Choppradit, Kasisdis Mahakijdechachai, Supawit Vatathanavaro, Worawit Saetan, V. Suttichaya",,
ViT,267312132,2401.15282,2024,GEM: Boost Simple Network for Glass Surface Segmentation via Segment Anything Model and Data Synthesis,"Jing Hao, Moyun Liu, Kuo Feng Hung",,
ViT,252782897,,2022,Two-Stream Transformer for Multi-Label Image Classification,"Xueling Zhu, Jiuxin Cao, Jiawei Ge, Weijia Liu, Bo Liu",,
ViT,237260132,2108.09159,2021,VAE-CE: Visual Contrastive Explanation using Disentangled VAEs,"Y. Poels, Vlado Menkovski",,
ViT,272339892,,2024,2D/3D-MGR: A 2D/3D Medical Image Registration Framework Based on DRR,"Zhuoyuan Li, Xuquan Ji, Chuantao Wang, Wenyong Liu, Feiyu Zhu, Jiliang Zhai",,
ViT,249848024,2206.08883,2022,CtrlFormer: Learning Transferable State Representation for Visual Control via Transformer,"Yao Mu, Shoufa Chen, Mingyu Ding, Jianyu Chen, Runjian Chen, Ping Luo",,
ViT,285802861,,2025,Fashion Recommendation System Using Vision Transformers (ViT) and Graph Neural Networks (GNN),"P. Srinath, P. Shilpa, P. Sarika, M. Jabbar",,
ViT,273025619,2410.01251,2024,Facial Action Unit Detection by Adaptively Constraining Self-Attention and Causally Deconfounding Sample,"Zhiwen Shao, Hancheng Zhu, Yong Zhou, Xiang Xiang, Bing Liu, Rui Yao, Lizhuang Ma",,
